#{"t_start": 1651757619.5864506, "env_id": "PointToPoint-v0"}
r,l,t
-4660.705534,5001,4.542797
-4659.57024,5001,8.93415
-4657.935535,5001,14.224937
-4657.591931,5001,18.670493
-4656.019641,5001,24.420133
-4656.008502,5001,28.793409
-4656.157663,5001,33.999802
-4656.251197,5001,38.385029
-4655.907885,5001,42.798921
-4656.592534,5001,48.022796
-4656.415134,5001,52.409105
-4656.138172,5001,57.588006
-4656.448018,5001,61.923027
-4655.715003,5001,67.155875
-4655.951588,5001,71.552235
-4655.166975,5001,76.769252
-4654.929811,5001,81.166807
-4654.853551,5001,85.542938
-4654.370145,5001,90.805148
-4653.993693,5001,95.195934
-4653.673195,5001,100.454881
-4653.758057,5001,104.881905
-4652.112612,5001,110.093592
-4652.069624,5001,114.515592
-4652.180734,5001,119.868695
-4652.894483,5001,124.272428
-4653.427473,5001,129.564178
-4653.535597,5001,136.026655
-4653.414841,5001,141.176594
-4653.441972,5001,146.614495
-4652.427561,5001,151.572762
-4653.331922,5001,157.437864
-4652.680663,5001,162.029329
-4651.465361,5001,167.308971
-4651.502266,5001,171.791099
-4652.225958,5001,176.798235
-4651.949,5001,182.135376
-4651.944432,5001,186.612966
-4651.529576,5001,191.987349
-4651.213255,5001,196.513513
-4650.409854,5001,201.791098
-4649.141245,5001,206.254288
-4649.264125,5001,211.538755
-4649.492862,5001,216.105479
-4649.524193,5001,221.340741
-4648.769806,5001,227.638605
-4649.083794,5001,232.172457
-4649.109958,5001,237.610215
-4649.022228,5001,242.100043
-4648.805771,5001,247.399824
-4647.971005,5001,251.954483
-4647.822038,5001,256.465124
-4648.155505,5001,261.822603
-4647.904404,5001,266.283974
-4647.487146,5001,271.586944
-4647.6216,5001,276.032035
-4647.775086,5001,281.383839
-4648.670506,5001,285.830589
-4647.955285,5001,291.176612
-4648.019228,5001,295.692758
-4647.750434,5001,300.141847
-4647.470059,5001,305.416984
-4647.950213,5001,309.905486
-4648.565433,5001,315.178047
-4648.545857,5001,319.722876
-4648.149265,5001,325.071898
-4648.160379,5001,329.511986
-4647.979716,5001,334.81385
-4648.263789,5001,339.305406
-4647.96384,5001,343.767935
-4647.712341,5001,349.198481
-4647.626478,5001,353.714209
-4647.419395,5001,359.019129
-4647.617567,5001,363.615876
-4647.780996,5001,368.889921
-4647.448182,5001,373.359452
-4647.113181,5001,378.63882
-4646.656251,5001,383.087142
-4647.176628,5001,387.513554
-4647.48785,5001,392.799902
-4647.363541,5001,397.355172
-4646.880342,5001,402.915843
-4647.408351,5001,407.389984
-4647.347163,5001,412.700535
-4647.022509,5001,417.144784
-4646.500824,5001,422.456751
-4646.571832,5001,426.9146
-4646.576926,5001,431.366156
-4646.625777,5001,436.680428
-4645.81428,5001,441.126892
-4645.87815,5001,446.48052
-4645.296624,5001,450.929048
-4645.249391,5001,456.229778
-4645.628557,5001,460.712759
-4645.690631,5001,465.19636
-4645.631117,5001,470.495865
-4644.837057,5001,475.011153
-4644.530687,5001,480.331945
-4644.255627,5001,484.758051
-4644.159041,5001,490.032075
